,Band,Song,Player,Technique,Difficulty,Score
272,Scorpions,Rock You Like A Hurricane,Lead,['Distortion Guitar'],Intermediate,5/8
273,Avenged Sevenfold,Beast And The Harlot,Synyster Gates,['Distortion Guitar'],Intermediate,4/8
274,Lynyrd Skynyrd,Simple Man,Gary Rossington,"['Clean Guitar 1', 'Electric Guitar (clean)']",Beginner,2/8
275,Slipknot,Unsainted,Guitar 1 (Mick Thomson),['Distortion Guitar'],Beginner,2/8
276,Ozzy Osbourne,No More Tears,Zakk Wylde,"['Solo', 'Distortion Guitar']",Intermediate,3/8
277,The Eagles,Hotel California (Unplugged),Guitar 1,['Acoustic Guitar (nylon)'],Intermediate,4/8
278,Guns N' Roses,Welcome To The Jungle,Guitar 1 (Slash),['Distortion Guitar'],Intermediate,4/8
279,Sungha Jung,(Stevie Wonder) Isn't She Lovely,Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,4/8
280,Muse,Hysteria,Matt Bellamy,"['Main Guitar', 'Distortion Guitar']",Intermediate,3/8
281,The Animals,The House Of The Rising Sun,Hilton Valentine,['Electric Guitar (clean)'],Intermediate,3/8
282,My Chemical Romance,Welcome To The Black Parade,Ray Toro (Lead Guitar),['Distortion Guitar'],Intermediate,3/8
283,AC/DC,T.N.T.,Malcolm Young,"['Rhythm', 'Distortion Guitar']",Intermediate,3/8
284,Metallica,Battery,James Hetfield,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
285,Ghost B.C.,Dance Macabre,A Nameless Ghoul Right,['Distortion Guitar'],Beginner,1/8
286,Metallica,Leper Messiah,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,3/8
287,Metallica,To Live Is To Die,Acoustic Guitar (nylon),[],Beginner,2/8
288,Tame Impala,The Less I Know The Better,Bass Distortion,['Overdriven Guitar'],Beginner,2/8
289,Iron Maiden,Powerslave,Dave Murray,['Distortion Guitar'],Intermediate,3/8
290,Metallica,"Atlas, Rise!",James Hetfield (Rhythm Guitar),['Distortion Guitar'],Intermediate,3/8
291,Metallica,Spit Out The Bone,J. Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
292,Nirvana,The Man Who Sold The World,Guitar w/disto,"['Kurt Cobain', 'Distortion Guitar']",Beginner,2/8
293,Alice in Chains,Rooster,Gtr.2 (Dist.),['Distortion Guitar'],Beginner,2/8
294,Pantera,Cemetery Gates,Dimebag Darrell (Rhythm),['Distortion Guitar'],Intermediate,3/8
295,Deep Purple,Black Night,Blackmore,['Overdriven Guitar'],Intermediate,3/8
296,Metallica,Fight Fire With Fire,Kirk Hammett,['Distortion Guitar 1'],Intermediate,4/8
297,Nirvana,Breed,Kurt Cobain (Guitar),['Distortion Guitar'],Intermediate,3/8
298,Megadeth,Wake Up Dead,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
299,Arctic Monkeys,Why'd You Only Call Me When You're High,Alex Turner (Guitar One),['Electric Guitar (clean)'],Beginner,1/8
300,Linkin Park,Given Up,Brad Delson + Mike Shinoda,"['Distortion ', 'Distortion Guitar']",Beginner,2/8
301,Megadeth,Angry Again,Dave Mustaine,['Distortion Guitar'],Beginner,2/8
302,Smashing Pumpkins,Cherub Rock,James Iha,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
303,Burzum,Dunkelheit,Right Guitar,['Distortion Guitar'],Beginner,2/8
304,Boston,More Than A Feeling,Tom Scholz (Acoustic),['Acoustic Guitar (steel)'],Beginner,2/8
305,Bullet For My Valentine,Hand Of Blood,Matt,['Distortion Guitar'],Intermediate,3/8
306,The Strokes,Reptilia,Nick Valensi,['Overdriven Guitar'],Intermediate,3/8
307,Metallica,Eye Of The Beholder,James Hetfield (Rhythm Guitar),['Distortion Guitar'],Intermediate,3/8
308,Whitesnake,Still Of The Night,John Sykes (Lead),['Distortion Guitar'],Intermediate,3/8
309,AC/DC,Shoot To Thrill,Angus Young,['Distortion Guitar'],Beginner,2/8
310,Pantera,5 Minutes Alone,Dime,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
311,Rush,Tom Sawyer,Lead Guitar-Lifeson,['Distortion Guitar'],Intermediate,3/8
312,Rush,Yyz,Alex Lifeson,"['Lead Guitar', 'Distortion Guitar']",Advanced,6/8
313,Metallica,Hit The Lights,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
314,Led Zeppelin,Over The Hills And Far Away,Jimmy Page,"['Guitar 1', 'Acoustic Guitar (steel)']",Intermediate,3/8
315,Metallica,The Thing That Should Not Be,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,3/8
316,Heart,Barracuda,Lead Guitar,['Overdriven Guitar'],Intermediate,3/8
317,Mastodon,Blood And Thunder,Guitar Lead,['Distortion Guitar'],Intermediate,4/8
318,Queens Of The Stone Age,No One Knows,Josh Homme (Clean),['Electric Guitar (clean)'],Beginner,2/8
319,Metallica,Moth Into Flame,Kirk Hammett (Lead),['Distortion Guitar'],Intermediate,3/8
320,Bullet For My Valentine,Tears Don't Fall,Michael Paget,['Electric Guitar (clean)'],Intermediate,4/8
321,K-On!!,Fuwa Fuwa Time,Guitar: Yui Hirasawa,['Distortion Guitar'],Beginner,2/8
322,The Smiths,This Charming Man,Johnny Marr|Lead 1,['Electric Guitar (clean)'],Intermediate,3/8
323,Jinjer,Pisces,Clean Guitar,['Electric Guitar (clean)'],Beginner,2/8
324,Metallica,No Remorse,James Hetfield,['Distortion Guitar'],Intermediate,3/8
325,Black Sabbath,N.I.B.,Guitarra,['Distortion Guitar'],Intermediate,3/8
326,Nirvana,Drain You,Kurt Cobain,['Distortion Guitar'],Beginner,1/8
327,Shingeki No Kyojin,Guren No Yumiya,Electric Guitar,['Distortion Guitar 1'],Beginner,2/8
328,Megadeth,Conquer Or Die,Kiko Loureiro,['Acoustic Guitar (nylon)'],Intermediate,5/8
329,Rammstein,"Links 2,3,4",Richard,['Distortion Guitar'],Beginner,2/8
330,Ed Sheeran,Perfect (Fingerstyle),Steel Guitar,['Acoustic Guitar (steel)'],Intermediate,4/8
331,Tool,Forty Six & 2,Electric Guitar,"['Adam Jones', 'Overdriven Guitar']",Intermediate,3/8
332,Guns N' Roses,Patience,Slash,['Acoustic Guitar (steel)'],Intermediate,3/8
333,Samurai (Cyberpunk 2077),Never Fade Away,Johny Silverhand,['Distortion Guitar'],Beginner,2/8
334,Tool,Vicarious,Distortion Guitar,"['Adam Jones', 'Distortion Guitar']",Intermediate,3/8
335,Children Of Bodom,Children Of Bodom,Alexi Laiho,['Distortion Guitar'],Intermediate,5/8
336,Deep Purple,Burn,Rhythm Guitar (Blackmore),['Distortion Guitar'],Intermediate,3/8
337,Bring Me The Horizon,Can You Feel My Heart,L,['Distortion Guitar'],Beginner,1/8
338,Attack On Titan,Vogel Im Käfig (Acoustic),Melody,['Acoustic Guitar (steel)'],Beginner,2/8
339,Black Sabbath,NIB,Tony Iommi,"['Guitar (Left)', 'Distortion Guitar']",Intermediate,3/8
340,Fleetwood Mac,The Chain,Lindsey Buckingham,"['Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
341,ZZ Top,La Grange,Guitar 1,['Electric Guitar (jazz)'],Beginner,2/8
342,Foo Fighters,The Pretender,Dave Grohl (Rhythm Guitar),['Distortion Guitar'],Beginner,2/8
343,Vulfpeck,Dean Town,Guitar (Theo),['Electric Guitar (clean)'],Intermediate,3/8
344,Dio,Holy Diver,Vivian Campbell,"['Rhythm Guitar (Left)', 'Distortion Guitar']",Beginner,2/8
345,Metallica,"Damage, Inc",Kirk Hammett,['Distortion Guitar'],Intermediate,4/8
346,Pink Floyd,Wish You Were Here,David Gilmour,"['12 String Effects', 'Acoustic Guitar (steel)']",Beginner,2/8
347,Green Day,Boulevard Of Broken Dreams,Billie Joe Amrstrong,"['Rhythm 3', 'Acoustic Guitar (steel)']",Intermediate,3/8
348,Metallica,The Unforgiven II,James Hetfield (Clean),['Electric Guitar (clean)'],Intermediate,3/8
349,Pink Floyd,Another Brick In The Wall (Part 2),David Gilmour,"['Rhythm Guitar (Left)', 'Electric Guitar (clean)']",Beginner,2/8
350,Death,Flesh And The Power It Holds,Chuck Schuldiner,['Distortion Guitar'],Intermediate,4/8
351,Avenged Sevenfold,Hail To The King,Rhythm [Zacky Vengeance],['Distortion Guitar'],Intermediate,3/8
352,Muse,Knights Of Cydonia,Lead,['Distortion Guitar'],Intermediate,3/8
353,Franz Ferdinand,Take Me Out,Nick McCarthy,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
354,Guns N' Roses,Nightrain,Guitar 1 (Slash),['Distortion Guitar'],Intermediate,4/8
355,Megadeth,Trust,Dave Mustaine,['Distortion Guitar'],Beginner,2/8
356,Metallica,Whiskey In The Jar,Lead Guitar 2,['Distortion Guitar'],Intermediate,3/8
357,Cyberpunk 2077,Kerry's Song,Track 1,['Electric Guitar (jazz)'],Intermediate,3/8
358,Deep Purple,Smoke On The Water,Ritchie Blackmore,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
359,The Beatles,Come Together,George Harrison,"['Backing Guitar', 'Overdriven Guitar']",Beginner,2/8
360,Arctic Monkeys,Fluorescent Adolescent,Jamie Cook,"['Lead Guitar', 'Overdriven Guitar']",Beginner,1/8
361,Rage Against The Machine,Know Your Enemy,Guitare 2,['Overdriven Guitar'],Intermediate,3/8
362,The White Stripes,Seven Nation Army,Jack White (Rhythm Guitar),['Distortion Guitar'],Beginner,2/8
363,Iron Maiden,Aces High,Adrian Smith,['Distortion Guitar'],Intermediate,4/8
364,All Time Low,"Dear Maria, Count Me In",Jack,['Distortion Guitar'],Beginner,2/8
365,Joy Division,Disorder,Bernard Sumner,"['Guitar', 'Overdriven Guitar']",Beginner,2/8
366,Metallica,The God That Failed,James Hetfield,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
367,My Chemical Romance,Na Na Na,Ray Toro,['Distortion Guitar'],Beginner,2/8
368,Oasis,Don't Look Back In Anger,Noel Gallagher,['Distortion Guitar'],Intermediate,3/8
369,Samurai,Chippin'in,Rhythm,['Distortion Guitar'],Beginner,2/8
370,Король и Шут,Дурак И Молния,Гитара Л,['Distortion Guitar'],Intermediate,3/8
371,Rammstein,Sonne,Keyboard 3 (Flake Lorenz),['String Ensemble 1'],,
372,Carcass,Heartwork,Michael Amott,['Distortion Guitar'],Intermediate,3/8
373,Type O Negative,Christian Woman,Kenny,"['Guitar 2', 'Distortion Guitar']",Intermediate,3/8
374,Entombed,Left Hand Path,Guitar II,['Distortion Guitar'],Intermediate,4/8
375,Darth Flex Fear,My New Song,Track 4,['Distortion Guitar'],Intermediate,3/8
376,Degeneration Vaginal Transmutation,Divine Enzyme,Distortion Guitar,[],Intermediate,3/8
377,Eloveena,Kaava,Eetu,['Distortion Guitar'],Intermediate,3/8
378,ERA,Era,Spår 9,['Pad 7 (halo)'],,
379,Paul Gilbert,Kate Is A Star,Paul 2,['Acoustic Guitar (nylon)'],Beginner,2/8
380,Gorstomok,Backstein In Die Kinderfresse,O-Man,['Distortion Guitar 2'],Intermediate,3/8
381,Gorstomok,Der Rehmann,O-Man,['Distortion Guitar 2'],Intermediate,3/8
382,Gorstomok,Tod Und Verderben,O-Man,['Distortion Guitar 2'],Advanced,8/8
383,Gorstomok,Siofuck,Oger am Strand,['Acoustic Guitar (nylon)'],Intermediate,3/8
384,Heavy Competition 10,Written Kismet,Lead 1,['Distortion Guitar'],Advanced,6/8
385,HIM,Gone With The Sin,Overdriven Guitar,[],Beginner,1/8
386,Rot Jungle,Red Skies,Dave Matrise,['Distortion Guitar'],Intermediate,3/8
387,Rot Jungle,Psychotric Cremation,Jim Bell,['Overdriven Guitar'],Intermediate,3/8
388,MSB Competition November 2004,Flight Of The Elephant,Track 1,['Distortion Guitar'],Intermediate,4/8
389,Oomph!,Swallow,Keys,['Acoustic Grand Piano'],,
390,Alejandro Silva,Free Fall,pitch,['Distortion Guitar'],Beginner,1/8
391,Alejandro Silva,Omega,pitch,['Distortion Guitar'],Intermediate,4/8
392,Violent Dreams,Alexandros,William,['Distortion Guitar'],Intermediate,3/8
393,Antipig,Carcass  (Chapter II),Distortion Guitar 2,[],Intermediate,3/8
394,Brou,Awake,Keyboard/ Effects,['Rock Organ'],,
395,Brou,Bakterion,Guitar 1,['Distortion Guitar'],Intermediate,4/8
396,Ivan Arnaud Garza,"Burning Earth (Killing Linkin Park, Metallica and Slayer)",Pista 4,['Overdriven Guitar'],Intermediate,3/8
397,Janne Da Arc,Sakura,Keyboard,['Electric Grand Piano'],,
398,Rotten Bitch,Conspiracy For The Eternal War,Track:,"['Guitar 2', '- Distortion Guitar']",Intermediate,4/8
399,The Damm Festival,Mass Mutilation,Track:,"['Guitar 1', '- Distortion Guitar']",Intermediate,5/8
400,Antipig,The Absolute Terrorist,Guitar II,['Distortion Guitar'],Intermediate,4/8
401,Antipig,I'm The Pig,Distortion Guitar 1,[],Intermediate,3/8
402,Degeneration Vaginal Transmutation,Guts Her,Guitar ,['Distortion Guitar'],Intermediate,3/8
403,Degeneration Vaginal Transmutation,Vaginal D.P.,Guitar ,['Distortion Guitar'],Intermediate,4/8
404,Degeneration Vaginal Transmutation,Angel Deflorater,Distortion Guitar,[],Intermediate,3/8
405,Degeneration Vaginal Transmutation,D.P.,Guitar ,['Distortion Guitar'],Intermediate,4/8
406,Сучаник,Мама яшi,Distortion Guitar,[],Intermediate,4/8
407,Evanescence,Taking Over Me,Guitar (Ben Moody),['Distortion Guitar'],Beginner,2/8
408,Rickard Redgard,The Heavy One,Spår 2,['Distortion Guitar'],Intermediate,3/8
409,Steve Vai,Blowfish,Harmonizer (fourth down),['Lead 5 (charang)'],,
410,Van Halen,Fire In The Hole,Guitar 1 (/w Trans Trem -2.5),['Distortion Guitar'],Intermediate,3/8
411,HIM,Venus Doom,Lead,['Electric Guitar (clean)'],Beginner,2/8
412,Buckethead,Baseball Furies,Buckethead,['Distortion Guitar'],Beginner,2/8
413,Dave Matthews Band,Space Between,Baritone Gtr. 1,['Electric Guitar (clean)'],Beginner,1/8
414,Depresszio,Utaz,Nimrod,['Distortion Guitar'],Intermediate,3/8
415,Depresszio,Vred,Back Guitar (Hartmann Ádám),['Distortion Guitar'],Advanced,8/8
416,Depresszio,Kezdjük El!,Hartmann Ádám (Nimrod),['Distortion Guitar'],Intermediate,3/8
417,HIM,Death Is In Love With Us,Linde,['Distortion Guitar'],Beginner,2/8
418,HIM,Cyanide Sun,Lead,['Distortion Guitar'],Intermediate,3/8
419,HIM,Heartless,Lily Lazer (Guitar),['Distortion Guitar'],Intermediate,3/8
420,HIM,Serpent Ride,Rhythm,['Distortion Guitar'],Intermediate,3/8
421,HIM,Heaven Tonight,Lily Lazer (Guitar),['Distortion Guitar 2'],Beginner,1/8
422,HIM,The Beginning Of The End,Lily Lazer (Guitar),['Distortion Guitar'],Beginner,1/8
423,John 5,First Victim,Guitar II (with Violin Bow),['Distortion Guitar'],Intermediate,3/8
424,Andy Martin,Another Tragedy,Backing Guitar,['Distortion Guitar'],Intermediate,3/8
425,Metal721,Og 1,Track 3,['Overdriven Guitar'],Intermediate,3/8
426,Halfsnail,Drama,Glockenspiel,[],,
427,MUCC,Kuchiki No Tou First,Guitar I,['Distortion Guitar'],Intermediate,3/8
428,No Mans Land,Menace Of Order,Overdubs,['Distortion Guitar'],Intermediate,3/8
429,Oomph!,Das Letzte Streichholz,Pista 4,['Distortion Guitar'],Beginner,2/8
430,Oomph!,Brennende Liebe,Pista 7,['Distortion Guitar'],Intermediate,3/8
431,Oomph!,Fieber,Pista 8,['Distortion Guitar'],Intermediate,3/8
432,Oomph!,Ich Will Deine Seele,Ryhtm guitar,['Distortion Guitar'],Beginner,1/8
433,Oomph!,My Darkest Cave,Guitar 2,['Overdriven Guitar'],Intermediate,3/8
434,Oomph!,Die Schlinge,Lead Guitar,['Overdriven Guitar'],Beginner,1/8
435,Timo Kotipelto,Around,Track 4,['Distortion Guitar'],Intermediate,3/8
436,Depresszio,Aki Érdekel,Ádám,['Distortion Guitar'],Beginner,2/8
437,Brian Head,Adonai,Track 2,['Distortion Guitar'],Intermediate,3/8
438,Brand New,Be Gone,Track 1,['Acoustic Guitar (steel)'],Intermediate,4/8
439,Bloody Diarrhoea,Vaga-Bond-Age,Frante,['Distortion Guitar'],Intermediate,3/8
440,Dave Matthews Band,Stay Or Leave,Track 1,['Acoustic Guitar (steel) 2'],Intermediate,4/8
441,Doom Vs,Threnode,Clean 1,['Electric Guitar (clean)'],Beginner,1/8
442,Fresh Body Shop,Angry Machine,R Guitar,['Overdriven Guitar'],Intermediate,3/8
443,Leng Tche,1-800-Apathy,Track 2,['Distortion Guitar'],Intermediate,3/8
444,Chainsaw Fisting,Cockvomit,Track 2,['Distortion Guitar'],Intermediate,5/8
445,Chainsaw Fisting,Eternal Hunt,Track 1,['Distortion Guitar'],Intermediate,4/8
446,Rompeprop,Foreskin Fart,Dirty Dr Dente,['Distortion Guitar'],Beginner,2/8
447,Rompeprop,Pikzwarteflikkerkak,Track 1,['Distortion Guitar'],Beginner,2/8
448,Rompeprop,Vaginal Luftwaffe,Track 1,['Distortion Guitar'],Beginner,2/8
449,Rompeprop,The Erected Underwater Necro Clitstomper,Track 3,['Distortion Guitar'],Intermediate,3/8
450,Revolting,Rise Of The Revolter,Lead,['Distortion Guitar'],Intermediate,3/8
451,Smes,Senor Rita,Distortion Guitar,[],Intermediate,3/8
452,Syntax,Message,Spår 3,['SynthStrings 2'],,
453,Road,Nem Rólunk Szól(Zúzús) Nem Teljes!!,Ritmus,['Distortion Guitar'],Intermediate,3/8
454,Vulgaroyal Bloodhill,Diarrea Emocional,Tagawa,['Distortion Guitar'],Beginner,2/8
455,Cavalera Conspiraci,Killing Inside,Marc Rizzo,['Distortion Guitar'],Intermediate,3/8
456,P.A.I.S.,Convalescence,Electric Guitar,['Distortion Guitar 1'],Intermediate,3/8
457,Lunar Goddess Fertility,Lunar Goddess' Fertility,Pista 7,['String Ensemble 1'],,
458,456666,12,Сируша,['Distortion Guitar'],Intermediate,5/8
459,Tantalus Spine,Death Blender By Dustin He,Dustin He,['Distortion Guitar'],Intermediate,4/8
460,Aerosmith,Girls Of Summer,Baritone Guitar w/Tremolo,['Electric Guitar (clean)'],Beginner,2/8
461,R.E.M.,Shiny Happy People,Organ (Mike Mills),['Drawbar Organ'],,
462,Restart,Gosto De Dar A Bunda,Pista 1,['Distortion Guitar'],Intermediate,4/8
463,Slipknot,Hate,Vocals,['Pad 4 (choir)'],,
464,Soilwork,Bastard Chain,Spår 3,['Distortion Guitar'],Intermediate,5/8
465,Equilibrium,Mana,Rythm,['Overdriven Guitar'],Beginner,1/8
466,Kingdom Of Sorrow,God's Law In The Devils Land,Track 2,['Distortion Guitar'],Intermediate,3/8
467,Black Widow Of La Porte,Black Widow Of La Porte (Ver2),B Standard Tuning Distortion,['Distortion Guitar'],Intermediate,3/8
468,Horizon 8,Exiled/Denied,Дима,['Distortion Guitar'],Intermediate,3/8
469,Pig Destroyer,Gravedancer,Track 1,['Overdriven Guitar'],Intermediate,3/8
470,№12,38,Pista 1,['Distortion Guitar'],Intermediate,3/8
471,№12,34,Pista 2,['Distortion Guitar'],Intermediate,5/8
472,Undead Corporation,Ready To Take Off,Sáv 2,['Overdriven Guitar'],Intermediate,4/8
473,Jim Jonston,Undertaker American Badass Theme,Track 5,['Tubular Bells'],,
474,Vesication,Whorange Goblin,Track 3,['Overdriven Guitar'],Intermediate,3/8
475,Vesication,Male Lactate,Track 1,['Distortion Guitar'],Intermediate,3/8
476,Vesication,Bitch Pisser,Track 1,['Overdriven Guitar'],Intermediate,4/8
477,Vesication,Rectal Fissures,Overdriven Guitar 1,[],Intermediate,3/8
478,Pizuya's Cell x Myonmyon,Steel Of Scarlet,トラック 1,['Overdriven Guitar'],Beginner,2/8
479,Celtic Frost,Synagoga Satanae,Lead Guitar,['Distortion Guitar'],Beginner,2/8
480,Cryptopsy,Abigor,Gtr. 1,['Distortion Guitar'],Intermediate,5/8
481,Eluveitie,Nil,Instru III,['Bag pipe'],,
482,Eluveitie,Alesia,Guitar I,['Overdriven Guitar'],Beginner,2/8
483,Eluveitie,Your Gaulish War,Ivo Henzi,['Distortion Guitar'],Intermediate,3/8
484,The Next Omen,01,SynthStrings 2,[],,
485,Depresszio,Te Vagy A Szerem,Ádám,['Distortion Guitar'],Intermediate,3/8
486,Cryptopsy,Mutant Christ,Guitar 2,['Distortion Guitar'],Intermediate,4/8
487,Hypocrisy,A Coming Race Ver 2,Guitare 3,['Distortion Guitar'],Intermediate,3/8
488,Cryptopsy,Cold Hate Warm Blood,Jon,['Overdriven Guitar'],Intermediate,5/8
489,Mntns,The Cult Of The Great Wheel,Guitar 2,['Distortion Guitar'],Intermediate,4/8
490,Cryptopsy,Slit Your Guts,Jon Levasseur rhythm 2,['Distortion Guitar'],Intermediate,5/8
491,Soilwork,20 More Miles,Rhythm Guiter,['Distortion Guitar'],Intermediate,4/8
492,Cephalic Carnage,Global Overhaul Device,Track 3,['Distortion Guitar'],Intermediate,3/8
493,At The Gates,With Fear I Kiss The Burning Darkness,Left,['Distortion Guitar'],Intermediate,5/8
494,Spawn Of Possession,Bodiless Sleeper,Jonas Bryssling,"['Left', 'Distortion Guitar']",Advanced,6/8
495,Cryptopsy,Emaciate,Distortion Guitar,[],Intermediate,5/8
496,Fleshgod Apocalypse,Requiem In Si Minore,Distortion Guitar 2,[],Beginner,2/8
497,Stefano Lombardi,Shadows Of The Black Horses,Track 1,['Distortion Guitar'],Intermediate,4/8
498,Stefano Lombardi,Mount Doom,Track 1,['Distortion Guitar'],Intermediate,3/8
499,Highways,Idk,Track 2,['Distortion Guitar'],Intermediate,3/8
500,In Hearts Wake,Traveller (The Fool),Vocals (Kyle Erich),['Tenor Sax'],,
501,Los Redondonditos De Ricota,El Pibe Del Los Astilleros,Max Cavalera,['Distortion Guitar'],Intermediate,3/8
502,Veil Of Maya,We Bow In Its Aura Better Version,marc okubo,"['guitar lead', 'Acoustic Guitar (steel)']",Intermediate,3/8
503,Blut Aus Nord,Epitome Xvi,Guitar 1,['Electric Guitar (jazz)'],Intermediate,3/8
504,Arise And Ruin,Bound By Blood,Track 1,['Distortion Guitar'],Intermediate,5/8
505,Back Door Asylum,Embrace The Pain,Distortion Guitar,[],Advanced,7/8
506,Sungha Jung,Gravity,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
507,Gazette,Attitude,Keyboard.-I,['Lead 2 (sawtooth)'],,
508,Gazette,Required Malfunction,Vocals,"['Ruki', 'Lead 6 (voice)']",,
509,Gazette,Derangement,Guitar 4,"['Uruha', 'Overdriven Guitar']",Intermediate,4/8
510,The Day Of Remission,Requiem For A Freedom,Track 7,['Tremolo Strings'],,
511,Eluveitie,The Essence Of Ashes,Distortion Guitar,[],Intermediate,4/8
512,Kambodge,Иней (Iney),Track 1,['Distortion Guitar'],Intermediate,4/8
513,Łydka Grubasa,Żyd,Korpus,['Violin'],,
514,Nothgard,Blackened Sky,Spur 9,['Trombone'],,
515,Amon Amarth,With Oden On Our Side Ver2,Guitar 1,['Distortion Guitar'],Intermediate,4/8
